This is the date of the measrue,Wind_Speed,Wind_direction
3/12/2020 12:00,6.78,90.02
3/12/2020 13:00,6.78,90.02
3/12/2020 14:00,6.78,90.02
3/12/2020 15:00,6.78,90.02
3/12/2020 16:00,6.78,90.02
3/12/2020 17:00,6.78,90.02
3/12/2020 18:00,6.78,90.02
3/12/2020 19:00,6.78,90.02
3/12/2020 20:00,6.78,90.02
3/12/2020 21:00,6.78,90.02
3/12/2020 22:00,6.78,90.02
3/12/2020 23:00,6.78,90.02
3/13/2020 0:00,6.78,90.02
3/13/2020 1:00,6.19,90.03
3/13/2020 2:00,5.6,90.04
3/13/2020 3:00,5.01,90.05
3/13/2020 4:00,5.14,90.05
3/13/2020 5:00,5.26,90.04
3/13/2020 6:00,5.39,90.04
3/13/2020 7:00,5.03,90.04
3/13/2020 8:00,4.68,90.05
3/13/2020 9:00,4.32,90.05
3/13/2020 10:00,4.4,90.04
3/13/2020 11:00,4.48,90.02
3/13/2020 12:00,4.56,90.01
3/13/2020 13:00,4.74,90
3/13/2020 14:00,4.92,89.97
3/13/2020 15:00,5.09,89.96
3/13/2020 16:00,5.27,89.95
3/13/2020 17:00,5.45,89.94
3/13/2020 18:00,5.63,89.93
3/13/2020 19:00,4.93,89.92
3/13/2020 20:00,4.23,89.91
3/13/2020 21:00,3.53,89.91
3/13/2020 22:00,3.13,89.92
3/13/2020 23:00,2.73,89.92
3/14/2020 0:00,2.33,89.93
3/14/2020 1:00,2.22,89.95
3/14/2020 2:00,2.11,89.96
3/14/2020 3:00,2,89.98
3/14/2020 4:00,1.51,90
3/14/2020 5:00,1.02,90.02
3/14/2020 6:00,0.53,149.99
3/14/2020 7:00,0.6,209.95
3/14/2020 8:00,0.68,269.92
3/14/2020 9:00,0.75,209.98
3/14/2020 10:00,0.87,150.05
3/14/2020 11:00,0.99,90.11
3/14/2020 12:00,1.11,90.09
3/14/2020 13:00,2,90.06
3/14/2020 14:00,2.89,90.04
3/14/2020 15:00,3.78,90.04
3/14/2020 16:00,4,90.04
3/14/2020 17:00,4.23,90.04
3/14/2020 18:00,4.45,90.04
3/14/2020 19:00,4.51,90.04
3/14/2020 20:00,4.58,90.04
3/14/2020 21:00,4.64,90.04
3/14/2020 22:00,4.89,90.03
3/14/2020 23:00,5.15,90.03
3/15/2020 0:00,5.4,90.03
3/15/2020 1:00,5.36,90.02
3/15/2020 2:00,5.31,90.02
3/15/2020 3:00,5.27,90.03
3/15/2020 4:00,4.59,90.04
3/15/2020 5:00,3.9,90.05
3/15/2020 6:00,3.22,90.05
3/15/2020 7:00,3.24,90.04
3/15/2020 8:00,3.25,90.04
3/15/2020 9:00,3.27,90.02
3/15/2020 10:00,3.74,90
3/15/2020 11:00,4.2,89.98
3/15/2020 12:00,4.67,90.01
3/15/2020 13:00,3.52,90.05
3/15/2020 14:00,2.36,90.08
3/15/2020 15:00,1.21,90.09
3/15/2020 16:00,1.3,90.11
3/15/2020 17:00,1.38,90.12
3/15/2020 18:00,1.47,90.11
3/15/2020 19:00,1.84,90.1
3/15/2020 20:00,2.21,90.09
3/15/2020 21:00,2.59,90.08
3/15/2020 22:00,2.96,90.07
3/15/2020 23:00,3.33,90.06
3/16/2020 0:00,3.7,90.05
3/16/2020 1:00,4.08,90.04
3/16/2020 2:00,4.45,90.03
